gene	deathrate	p.value	q.value	SD	low-confidence interval	upper-confidence interval	tag
NCA2	-0.00300963	0.0012706	0.012348602	0.000461743	-0.004196578	-0.001822682	down
TIR3	-0.00300486	0.000986419	0.011158721	0.000436162	-0.00412605	-0.001883671	up
GBP2	-0.002984089	0.000421191	0.008126039	0.000360734	-0.003911387	-0.002056792	up
SAM37	-0.002979151	0.000553446	0.008840572	0.000381724	-0.003960404	-0.001997898	down
ZSP1	-0.00297857	0.004777969	0.019834393	0.000617337	-0.004565486	-0.001391653	down
YHR087W	-0.002975995	2.97E-06	0.00209021	0.000130089	-0.0033104	-0.002641591	down
MNI1	-0.002961015	0.00086139	0.01056128	0.000417322	-0.004033774	-0.001888256	down
PTR2	-0.00295921	3.80E-05	0.004033212	0.00021696	-0.003516923	-0.002401497	down
BAR1	-0.002955147	0.000262023	0.006263801	0.00032315	-0.003785831	-0.002124463	up
YML119W	-0.002944722	0.42566869	0.247015521	0.003397109	-0.011677269	0.005787825	down
ARE1	-0.002941946	0.100870838	0.099346347	0.001464927	-0.006707661	0.000823769	down
TRP3	-0.002941601	0.258461071	0.179654538	0.002307805	-0.008874003	0.002990802	down
MDN1	-0.002937838	0.008553781	0.026303586	0.00070079	-0.004739275	-0.0011364	down
FMP10	-0.002928077	0.349011198	0.217786078	0.002834888	-0.010215387	0.004359234	down
YNL057W	-0.002920103	0.000999685	0.011174162	0.000425095	-0.004012844	-0.001827362	up
YDL034W	-0.002918432	0.001589707	0.013610483	0.000470473	-0.004127821	-0.001709043	up
NCA2	-0.002913512	0.002766791	0.016068928	0.000532012	-0.004281094	-0.001545931	up
RSM25	-0.002910033	0.006500388	0.023410783	0.00064912	-0.004578648	-0.001241419	down
YCL049C	-0.002905947	0.348888812	0.217757949	0.002812677	-0.010136164	0.004324271	down
PBI2	-0.002900424	0.204173062	0.154081276	0.001986891	-0.008007889	0.002207041	down
RPL2B	-0.002898794	0.002645553	0.015855171	0.00052395	-0.004245649	-0.001551939	down
ADD66	-0.002889091	0.002149927	0.014742957	0.00049825	-0.004169882	-0.001608299	down
YER093C-A	-0.002879603	0.185972272	0.145148857	0.001879027	-0.007709794	0.001950589	up
SPS4	-0.002874984	0.48609855	0.268476611	0.003824745	-0.012706805	0.006956836	up
YHR087W	-0.002854554	1.03E-06	0.000971647	0.000100928	-0.003113998	-0.002595109	up
TIR3	-0.002843782	0.006842907	0.0237236	0.000642275	-0.004494803	-0.001192762	down
PUS7	-0.002827942	0.002080697	0.014513767	0.000484127	-0.00407243	-0.001583454	down
YGL059W	-0.002821475	0.650222161	0.318526984	0.005854745	-0.017871575	0.012228626	up
CAT2	-0.00278841	0.000241651	0.006263801	0.000299778	-0.003559014	-0.002017806	down
ADE3	-0.002787625	0.167252551	0.135299531	0.001726186	-0.007224928	0.001649678	down
FYV10	-0.002784736	0.010553587	0.029345599	0.000700065	-0.004584311	-0.00098516	down
IRS4	-0.002776347	0.088067251	0.091200631	0.001312724	-0.00615081	0.000598116	up
SGS1	-0.002774105	0.000494296	0.008327079	0.000346971	-0.003666023	-0.001882187	down
LIP1	-0.002760071	0.247814844	0.175195481	0.002110342	-0.008184878	0.002664735	down
PBS2	-0.002756119	0.219925358	0.161738743	0.001966266	-0.007810567	0.002298329	up
PEX28	-0.0027494	0.000332318	0.007042979	0.00031609	-0.003561936	-0.001936864	up
YHL037C	-0.00274382	0.004053907	0.018658411	0.000547171	-0.004150367	-0.001337273	down
RPL2B	-0.002738388	0.002990282	0.016239885	0.000508992	-0.004046793	-0.001429983	up
AKL1	-0.002726698	0.004147145	0.018690524	0.000546651	-0.00413191	-0.001321486	up
NGL1	-0.002705748	0.669556216	0.324285719	0.005973492	-0.018061097	0.0126496	up
RAD18	-0.00270571	0.009157916	0.027255997	0.00065644	-0.004393144	-0.001018276	up
YJL218W	-0.002686755	5.48E-06	0.002204202	0.000132908	-0.003028405	-0.002345104	up
GRX1	-0.002686531	0.027303697	0.047503643	0.000870743	-0.004924847	-0.000448216	up
YJL016W_p	-0.002678658	0.007615317	0.025088469	0.000620954	-0.00427487	-0.001082445	down
IOC3	-0.002660658	0.000869423	0.010601601	0.000375745	-0.003626542	-0.001694774	up
RSA1	-0.002659838	0.046463056	0.063286276	0.001010864	-0.005258345	-6.13E-05	down
RSM25	-0.002637129	0.01507776	0.035392226	0.0007267	-0.00450517	-0.000769088	up
BUD9	-0.002635773	0.020479787	0.040999981	0.000788389	-0.004662392	-0.000609153	up
YLL032C	-0.002632846	0.005789902	0.02246399	0.000571171	-0.004101087	-0.001164605	down
YHR125W	-0.002624988	0.105634123	0.101793053	0.001331034	-0.006046519	0.000796543	up
SUB1	-0.002623891	0.218317931	0.160771322	0.001864295	-0.007416213	0.002168432	up
ATR1	-0.002622571	0.033499991	0.052535545	0.000902026	-0.004941303	-0.000303839	down
ALF1	-0.002621424	0.360035844	0.222256895	0.00260251	-0.009311388	0.004068539	up
YHR080C	-0.002619903	0.000455443	0.008145781	0.000322018	-0.003447677	-0.001792128	down
YNL013C	-0.002614214	0.025148508	0.04570175	0.000827778	-0.004742086	-0.000486343	up
YHR209W	-0.002612521	0.159184983	0.131222837	0.001580222	-0.006674612	0.001449569	up
ECM13	-0.002606399	0.375650352	0.228092883	0.002681224	-0.009498706	0.004285908	down
YIL161W	-0.002601919	0.110575713	0.10447241	0.001343669	-0.006055931	0.000852093	up
MDN1	-0.00259117	0.010896735	0.02970908	0.000656695	-0.004279258	-0.000903081	up
YKR018C	-0.002589344	3.82E-05	0.004033212	0.000190097	-0.003078003	-0.002100685	down
GPI16	-0.002581931	0.027347914	0.047504187	0.000837227	-0.004734091	-0.000429771	up
PAC1	-0.002580096	0.117596733	0.10819689	0.001366265	-0.006092191	0.000931999	down
WSC2	-0.002575305	0.003636291	0.017759563	0.000500744	-0.003862508	-0.001288102	down
WSC2	-0.002571268	0.008368345	0.026066909	0.000610036	-0.004139416	-0.001003121	up
CHO2	-0.002563621	0.112868221	0.105525184	0.001334929	-0.005995165	0.000867923	up
YLR049C	-0.002563137	0.239585	0.171632713	0.001920678	-0.007500397	0.002374124	up
CFD1	-0.002558962	0.004340143	0.019131785	0.000518515	-0.003891847	-0.001226076	up
TIM13	-0.002555019	0.311201797	0.202255108	0.002268653	-0.008386778	0.00327674	up
PDE2	-0.002549754	0.002834539	0.016183765	0.000468167	-0.003753216	-0.001346292	down
YIL158W	-0.0025417	0.050510239	0.066369777	0.000991992	-0.005091697	8.30E-06	up
TOS1	-0.002539197	0.488212987	0.269011465	0.003395347	-0.011267214	0.006188821	down
QDR2	-0.002526534	0.001100646	0.011356309	0.000375609	-0.003492067	-0.001561001	up
CBR1	-0.002521999	0.006566288	0.023442031	0.000563936	-0.003971644	-0.001072354	down
GRX1	-0.002517296	0.002929996	0.016183765	0.00046572	-0.003714468	-0.001320124	down
OCA1	-0.002517226	3.46E-07	0.000971647	7.14E-05	-0.002700801	-0.002333652	down
VMR1	-0.002516348	0.00192837	0.014331891	0.000423499	-0.003604988	-0.001427708	down
YBR063C	-0.002514219	0.00484837	0.020036289	0.000522899	-0.003858374	-0.001170065	down
PUF6	-0.002507483	0.006847292	0.0237236	0.000566409	-0.003963485	-0.001051482	up
YDR506C	-0.002506294	0.005198481	0.021099361	0.000529929	-0.00386852	-0.001144067	down
AEP3	-0.002504312	0.005055206	0.020696779	0.000526012	-0.003856468	-0.001152156	up
OCA1	-0.002503822	4.93E-06	0.002204202	0.000121253	-0.002815513	-0.002192131	up
MUB1	-0.002497828	0.081926937	0.08740927	0.001149967	-0.005453912	0.000458256	down
YHR126C	-0.002488055	0.001554947	0.013610483	0.00039913	-0.003514053	-0.001462058	down
IOC3	-0.002486161	0.00017863	0.006073812	0.000250906	-0.003131136	-0.001841185	down
TDH2	-0.002481142	0.029237557	0.049226329	0.000820125	-0.00458934	-0.000372944	down
MRS3	-0.002452564	0.011908492	0.031198265	0.000635768	-0.004086859	-0.000818269	up
VMR1	-0.0024522	0.006725624	0.023593201	0.000551519	-0.003869926	-0.001034474	up
PUS7	-0.00245027	0.00201658	0.014472897	0.000416534	-0.003521004	-0.001379536	up
YPR197C	-0.002448793	0.000656397	0.009433284	0.000325461	-0.003285417	-0.001612169	up
RPS10A	-0.002447103	0.520487912	0.279789665	0.003542809	-0.011554183	0.006659977	down
YJR015W	-0.002440893	0.003039609	0.016277371	0.0004554	-0.003611536	-0.00127025	up
OSH6	-0.002436012	0.449895634	0.255794864	0.002973333	-0.010079208	0.005207183	down
SNX3	-0.002435384	0.007223932	0.024301739	0.000557331	-0.003868049	-0.001002718	down
YHR080C	-0.002433862	0.000184731	0.006073812	0.000247356	-0.003069711	-0.001798012	up
HSP104	-0.002433661	0.008306828	0.025997556	0.000576338	-0.003915186	-0.000952137	down
YPK1	-0.002431959	0.034836562	0.053504248	0.000846231	-0.004607265	-0.000256654	down
YAL027W	-0.002430365	0.000556246	0.008840572	0.000311743	-0.003231726	-0.001629003	up
YIL032C	-0.002428146	0.002186476	0.014843305	0.000420348	-0.003508685	-0.001347606	down
AIR1	-0.002427359	0.270594253	0.18477658	0.001960342	-0.007466577	0.00261186	up
YVH1	-0.002417654	0.598533044	0.303334562	0.004303794	-0.013480908	0.008645599	up
SLM4	-0.002413587	0.001080961	0.011277133	0.000357404	-0.003332324	-0.001494849	down
SAK1	-0.002409795	0.0003272	0.007042979	0.00027614	-0.003119637	-0.001699954	up
DIN7	-0.002403703	0.301886501	0.198308452	0.002088858	-0.007773284	0.002965879	down
AGE2	-0.002399208	0.00043708	0.008145781	0.000292322	-0.003150645	-0.001647771	down
YOL019W	-0.002393145	0.401016769	0.237255702	0.0026086	-0.009098765	0.004312475	down
YLR112W	-0.00238899	0.017280645	0.038106076	0.000682529	-0.004143486	-0.000634494	down
YDR506C	-0.002385027	0.001865982	0.01424405	0.000398455	-0.003409289	-0.001360764	up
YHR125W	-0.002384054	0.462783733	0.260314598	0.002999656	-0.010094917	0.005326808	down
FAR3	-0.002383545	0.002783437	0.01610532	0.000435835	-0.003503896	-0.001263195	up
PAI3	-0.002382414	0.541900596	0.28675437	0.003641974	-0.011744405	0.006979577	down
RIM15	-0.002381176	0.203635646	0.153820326	0.001628893	-0.00656838	0.001806028	down
APM2	-0.002366739	0.002083987	0.014513767	0.000405316	-0.003408635	-0.001324842	up
BUD21	-0.002365381	0.080723838	0.086588335	0.001083143	-0.005149687	0.000418925	down
FYV10	-0.002363681	0.058577433	0.071738915	0.000968302	-0.004852782	0.000125419	up
YBR144C	-0.002361776	0.485227706	0.268153373	0.003135396	-0.010421569	0.005698016	up
JJJ2	-0.002361708	0.007464584	0.024746686	0.00054481	-0.003762186	-0.00096123	down
NCR1	-0.002360359	0.003445548	0.017419782	0.000453263	-0.00352551	-0.001195208	up
MSL1	-0.002358168	0.016986848	0.037824622	0.000670648	-0.004082122	-0.000634213	down
